Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,AI\AI.Agents\AI.Agents.csproj,File,AI\AI.Agents\AI.Agents.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,AI\AI.Agents.UnitTests\AI.Agents.UnitTests.csproj,File,AI\AI.Agents.UnitTests\AI.Agents.UnitTests.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AI\AI.Common\AI.Common.csproj,File,AI\AI.Common\AI.Common.csproj,,,Microsoft.Extensions.DependencyInjection.Abstractions 9.0.11,,,,,"Microsoft.Extensions.DependencyInjection.Abstractions, 9.0.11  Recommendation:  Remove Microsoft.Extensions.DependencyInjection.Abstractions, and replace with new package Microsoft.Extensions.DependencyInjection.Abstractions 10.0.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,AI\AI.Common\AI.Common.csproj,File,AI\AI.Common\AI.Common.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AI\AI.Common\AI.Common.csproj,File,AI\AI.Common\ChatMessageContentHelper.cs,38,3,M:System.TimeSpan.FromMinutes(System.Int64),,,,,"var match = System.Text.RegularExpressions.Regex.Match(  				message.Content ?? string.Empty,  				@""<think>(.*?)</think>"",  				System.Text.RegularExpressions.RegexOptions.Singleline | System.Text.RegularExpressions.RegexOptions.IgnoreCase,  				TimeSpan.FromMinutes(1));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AI\AI.Common\AI.Common.csproj,File,AI\AI.Common\ChatMessageContentHelper.cs,18,3,M:System.TimeSpan.FromMinutes(System.Int64),,,,,"var text = System.Text.RegularExpressions.Regex.Replace(  				message,  				@""<think>.*?</think>"",  				string.Empty,  				System.Text.RegularExpressions.RegexOptions.Singleline | System.Text.RegularExpressions.RegexOptions.IgnoreCase  			, TimeSpan.FromMinutes(1));"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,AI\AI.Functions\AI.Functions.csproj,File,AI\AI.Functions\AI.Functions.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AI\AI.Functions\AI.Functions.csproj,File,AI\AI.Functions\OnlineSearch\GoogleSearchService.cs,135,5,T:System.Net.Http.HttpContent,,,,,return await response.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AI\AI.Functions\AI.Functions.csproj,File,AI\AI.Functions\OnlineSearch\GoogleSearchService.cs,131,4,T:System.Uri,,,,,var encodedUrl = Uri.EscapeDataString(url);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AI\AI.Functions\AI.Functions.csproj,File,AI\AI.Functions\OnlineSearch\GoogleSearchService.cs,67,4,T:System.Net.Http.HttpContent,,,,,var result = await response.Content.ReadFromJsonAsync<GoogleSearchApiResult>();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AI\AI.Functions\AI.Functions.csproj,File,AI\AI.Functions\OnlineSearch\GoogleSearchService.cs,55,4,T:System.Uri,,,,,"var url = $""{_context.BackendGoogleSearchUrl}{Uri.EscapeDataString(request.Query.Trim())}"";"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,AI\AI.Functions.UnitTests\AI.Functions.UnitTests.csproj,File,AI\AI.Functions.UnitTests\AI.Functions.UnitTests.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AI\AI.Functions.UnitTests\AI.Functions.UnitTests.csproj,File,AI\AI.Functions.UnitTests\GoogleSearchServiceTests.cs,196,3,T:System.Uri,,,,,"var httpClient = CreateHttpClient(req => new HttpResponseMessage(HttpStatusCode.NotFound), new Uri(""http://localhost""));"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AI\AI.Functions.UnitTests\AI.Functions.UnitTests.csproj,File,AI\AI.Functions.UnitTests\GoogleSearchServiceTests.cs,196,3,M:System.Uri.#ctor(System.String),,,,,"var httpClient = CreateHttpClient(req => new HttpResponseMessage(HttpStatusCode.NotFound), new Uri(""http://localhost""));"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AI\AI.Functions.UnitTests\AI.Functions.UnitTests.csproj,File,AI\AI.Functions.UnitTests\GoogleSearchServiceTests.cs,152,3,T:System.Uri,,,,,"var httpClient = CreateHttpClient(req =>  			{  				if (req.RequestUri!.AbsolutePath.Contains(""google-search""))  				{  					return new HttpResponseMessage(HttpStatusCode.OK)  					{  						Content = new StringContent(searchJson, Encoding.UTF8, ""application/json"")  					};  				}    				// For fetch calls return 404 so content will be null  				return new HttpResponseMessage(HttpStatusCode.NotFound);  			}, new Uri(""http://localhost""));"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AI\AI.Functions.UnitTests\AI.Functions.UnitTests.csproj,File,AI\AI.Functions.UnitTests\GoogleSearchServiceTests.cs,152,3,M:System.Uri.#ctor(System.String),,,,,"var httpClient = CreateHttpClient(req =>  			{  				if (req.RequestUri!.AbsolutePath.Contains(""google-search""))  				{  					return new HttpResponseMessage(HttpStatusCode.OK)  					{  						Content = new StringContent(searchJson, Encoding.UTF8, ""application/json"")  					};  				}    				// For fetch calls return 404 so content will be null  				return new HttpResponseMessage(HttpStatusCode.NotFound);  			}, new Uri(""http://localhost""));"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AI\AI.Functions.UnitTests\AI.Functions.UnitTests.csproj,File,AI\AI.Functions.UnitTests\GoogleSearchServiceTests.cs,156,5,T:System.Net.Http.HttpContent,,,,,"return new HttpResponseMessage(HttpStatusCode.OK)  					{  						Content = new StringContent(searchJson, Encoding.UTF8, ""application/json"")  					};"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AI\AI.Functions.UnitTests\AI.Functions.UnitTests.csproj,File,AI\AI.Functions.UnitTests\GoogleSearchServiceTests.cs,154,4,T:System.Uri,,,,,"if (req.RequestUri!.AbsolutePath.Contains(""google-search""))  				{  					return new HttpResponseMessage(HttpStatusCode.OK)  					{  						Content = new StringContent(searchJson, Encoding.UTF8, ""application/json"")  					};  				}"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AI\AI.Functions.UnitTests\AI.Functions.UnitTests.csproj,File,AI\AI.Functions.UnitTests\GoogleSearchServiceTests.cs,154,4,P:System.Uri.AbsolutePath,,,,,"if (req.RequestUri!.AbsolutePath.Contains(""google-search""))  				{  					return new HttpResponseMessage(HttpStatusCode.OK)  					{  						Content = new StringContent(searchJson, Encoding.UTF8, ""application/json"")  					};  				}"
