"MacroTrends Data Download"
"ATVI - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1993-10-25,1.0965,1.0965,0.8224,0.8224,17196
1993-10-26,1.0783,1.0783,0.7493,0.7581,189000
1993-10-27,0.7581,0.7581,0.7581,0.7581,0
1993-10-28,0.6214,0.7310,0.5117,0.7223,29004
1993-10-29,0.7676,0.7676,0.7310,0.7310,172800
1993-11-01,0.7310,0.7676,0.7310,0.7676,76800
1993-11-02,0.7310,0.7676,0.7310,0.7676,11604
1993-11-03,0.7493,0.8590,0.7493,0.8407,48000
1993-11-04,0.8772,0.8772,0.8407,0.8407,24396
1993-11-05,0.7493,0.8772,0.7493,0.8772,4404
1993-11-08,0.8772,0.8772,0.8772,0.8772,0
1993-11-09,0.7676,0.7676,0.7676,0.7676,6600
1993-11-10,0.7859,0.7859,0.7859,0.7859,50004
1993-11-11,0.7859,0.7859,0.7859,0.7859,6600
1993-11-12,0.7859,0.7859,0.7859,0.7859,11604
1993-11-15,0.7859,0.7859,0.7859,0.7859,30804
1993-11-16,0.7859,0.8955,0.7859,0.8955,24396
1993-11-17,0.7859,0.8955,0.7859,0.8041,38400
1993-11-18,0.8041,0.8041,0.8041,0.8041,55596
1993-11-19,0.8319,0.8407,0.7493,0.7771,945204
1993-11-22,0.7771,0.8407,0.7771,0.8319,33996
1993-11-23,0.8041,0.8041,0.8041,0.8041,5196
1993-11-24,0.7676,0.7859,0.7676,0.7859,9600
1993-11-26,0.7771,0.7859,0.7771,0.7859,14004
1993-11-29,0.7676,0.8407,0.7676,0.8407,48204
1993-11-30,0.8407,0.8407,0.8407,0.8407,0
1993-12-01,0.8407,0.8407,0.8407,0.8407,0
1993-12-02,0.8041,0.8224,0.7859,0.8224,218796
1993-12-03,0.8041,0.8041,0.8041,0.8041,4404
1993-12-06,0.8041,0.8041,0.8041,0.8041,3204
1993-12-07,0.7859,0.7859,0.7676,0.7676,42804
1993-12-08,0.8224,0.8224,0.7493,0.7676,107604
1993-12-09,0.7676,0.8224,0.7581,0.7676,358404
1993-12-10,0.8224,0.8224,0.7493,0.7493,4404
1993-12-13,0.7676,0.7676,0.7493,0.7676,105600
1993-12-14,0.7493,0.7954,0.7493,0.7493,224004
1993-12-15,0.7581,0.7581,0.7581,0.7581,2004
1993-12-16,0.7859,0.7859,0.7493,0.7493,29004
1993-12-17,0.7493,0.7493,0.7493,0.7493,0
1993-12-20,0.7493,0.7859,0.7493,0.7859,28800
1993-12-21,0.7859,0.7859,0.7859,0.7859,11604
1993-12-22,0.7859,0.7859,0.7676,0.7859,54600
1993-12-23,0.7859,0.7859,0.7493,0.7493,7596
1993-12-27,0.8224,0.8224,0.7676,0.8224,73800
1993-12-28,0.8224,0.8772,0.8224,0.8772,81996
1993-12-29,0.8772,1.0417,0.8590,0.9869,270804
1993-12-30,1.0417,1.0417,0.9686,0.9686,57804
1993-12-31,1.0234,1.0234,0.9686,0.9686,144000
1994-01-03,1.0234,1.0234,0.9686,1.0234,36396
1994-01-04,1.0234,1.0234,0.9686,0.9686,33996
1994-01-05,1.0234,1.0234,1.0234,1.0234,3204
1994-01-06,0.9869,1.0234,0.9774,0.9774,96000
1994-01-07,0.9686,0.9686,0.9591,0.9591,35400
1994-01-10,0.9686,0.9686,0.9503,0.9503,9804
1994-01-11,0.9138,0.9321,0.8955,0.9321,5196
1994-01-12,0.8772,0.9686,0.8772,0.9686,29004
1994-01-13,0.9686,0.9686,0.9416,0.9416,59604
1994-01-14,0.9050,0.9686,0.9050,0.9686,60804
1994-01-17,0.9686,0.9686,0.9321,0.9686,67200
1994-01-18,0.9138,0.9321,0.8955,0.8955,101196
1994-01-19,0.9138,1.0052,0.8772,0.9503,134604
1994-01-20,0.9686,0.9686,0.8041,0.8041,122796
1994-01-21,0.8129,0.8129,0.6762,0.7676,158004
1994-01-24,0.7859,0.7859,0.6579,0.7127,403200
1994-01-25,0.6214,0.6214,0.6214,0.6214,6600
1994-01-26,0.7127,0.7127,0.6396,0.7127,24396
1994-01-27,0.7676,0.7859,0.7676,0.7859,4404
1994-01-28,0.8041,0.8041,0.8041,0.8041,23604
1994-01-31,0.8041,0.8041,0.6762,0.8041,14004
1994-02-01,0.6762,0.8041,0.6762,0.7127,32004
1994-02-02,0.8224,0.8955,0.8041,0.8041,99204
1994-02-03,0.7493,0.7581,0.7493,0.7581,552396
1994-02-04,0.7493,0.8041,0.7493,0.7493,28800
1994-02-07,0.7310,0.7676,0.7310,0.7676,7596
1994-02-08,0.7676,0.7676,0.7676,0.7676,0
1994-02-09,0.7676,0.8224,0.7676,0.8224,7596
1994-02-10,0.7310,0.8495,0.7310,0.7310,33996
1994-02-11,0.8224,0.8224,0.8224,0.8224,204
1994-02-14,0.8224,0.8224,0.8224,0.8224,0
1994-02-15,0.8224,0.8224,0.8224,0.8224,0
1994-02-16,0.8590,0.8590,0.7310,0.7310,4404
1994-02-17,0.8590,0.8590,0.7310,0.7310,3204
1994-02-18,0.8590,0.8590,0.8590,0.8590,5196
1994-02-22,0.8590,0.8590,0.8590,0.8590,0
1994-02-23,0.7310,0.7310,0.7310,0.7310,3204
1994-02-24,0.7310,0.7310,0.7310,0.7310,0
1994-02-25,0.7310,0.7310,0.7310,0.7310,3204
1994-02-28,0.7493,0.8407,0.7310,0.8407,9600
1994-03-01,0.8407,0.8407,0.8407,0.8407,0
1994-03-02,0.7310,0.7676,0.7310,0.7676,50004
1994-03-03,0.7676,0.7676,0.7676,0.7676,0
1994-03-04,0.7127,0.7127,0.7127,0.7127,204
1994-03-07,0.7310,0.7310,0.7310,0.7310,3204
1994-03-08,0.7127,0.7127,0.7127,0.7127,11604
1994-03-09,0.7127,0.7127,0.7127,0.7127,0
1994-03-10,0.7127,0.7127,0.7127,0.7127,0
1994-03-11,0.8041,0.8041,0.8041,0.8041,4404
1994-03-14,0.7127,0.7127,0.6945,0.6945,12804
1994-03-15,0.7676,0.7676,0.6945,0.6945,23604
1994-03-16,0.6945,0.7310,0.6945,0.7310,33996
1994-03-17,0.6674,0.6762,0.6214,0.6579,62004
1994-03-18,0.6396,0.6396,0.6214,0.6214,38400
1994-03-21,0.6396,0.6396,0.6031,0.6031,26796
1994-03-22,0.6674,0.6674,0.6396,0.6396,88404
1994-03-23,0.6031,0.6762,0.6031,0.6762,12804
1994-03-24,0.6214,0.6579,0.6031,0.6579,209196
1994-03-25,0.6031,0.6396,0.5848,0.6031,192000
1994-03-28,0.5848,0.6579,0.5848,0.6031,36396
1994-03-29,0.5848,0.6031,0.5848,0.6031,21204
1994-03-30,0.6579,0.6579,0.6579,0.6579,7596
1994-03-31,0.6214,0.6579,0.6214,0.6301,9804
1994-04-04,0.6301,0.6301,0.6301,0.6301,0
1994-04-05,0.6579,0.6579,0.6579,0.6579,11604
1994-04-06,0.6579,0.6579,0.6579,0.6579,204
1994-04-07,0.6579,0.6579,0.6579,0.6579,0
1994-04-08,0.6301,0.6396,0.6214,0.6214,128004
1994-04-11,0.6579,0.6579,0.6579,0.6579,5196
1994-04-12,0.5848,0.5848,0.5848,0.5848,204
1994-04-13,0.6126,0.6301,0.6126,0.6301,29004
1994-04-14,0.5848,0.5848,0.5848,0.5848,23604
1994-04-15,0.5665,0.5848,0.5483,0.5483,64200
1994-04-18,0.5848,0.6031,0.5117,0.5117,237000
1994-04-19,0.5117,0.5117,0.5117,0.5117,0
1994-04-20,0.4752,0.5117,0.4752,0.5117,185604
1994-04-21,0.4203,0.4291,0.4203,0.4291,45000
1994-04-22,0.4291,0.4291,0.4291,0.4291,0
1994-04-25,0.4291,0.4291,0.4291,0.4291,0
1994-04-26,0.4291,0.4291,0.4291,0.4291,0
1994-04-28,0.4021,0.4021,0.4021,0.4021,168396
1994-04-29,0.5117,0.5117,0.3838,0.4386,165204
1994-05-02,0.4569,0.4569,0.4569,0.4569,2004
1994-05-03,0.4569,0.4569,0.4569,0.4569,0
1994-05-04,0.4934,0.4934,0.4934,0.4934,3204
1994-05-05,0.4934,0.4934,0.4934,0.4934,0
1994-05-06,0.5300,0.5300,0.4203,0.4481,256200
1994-05-09,0.4481,0.4481,0.4481,0.4481,0
1994-05-10,0.4386,0.4569,0.4203,0.4203,33204
1994-05-11,0.5117,0.5117,0.4386,0.4386,21204
1994-05-12,0.4386,0.4386,0.4386,0.4386,0
1994-05-13,0.4386,0.5300,0.4203,0.5300,43596
1994-05-16,0.5300,0.5300,0.5300,0.5300,2004
1994-05-17,0.4203,0.4752,0.4203,0.4752,4404
1994-05-18,0.5117,0.5117,0.4203,0.4752,137604
1994-05-19,0.4386,0.4386,0.3838,0.3838,121800
